id,USERID,DEPARTMENT,TIMESTAMPS,EVENTID,TERMINALSN,ACCESSMETHOD,REMARKS,TERMINALIP,PHOTO,PHOTOSIZE,RECLOGDTM,RECLOGFROMIP,LOCAL_TIMESTAMP,PhotoPath
685851,Unknown User,,2016-08-01 03:49:15.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:49:19.000,10.0.170.250,2016-08-01 06:49:15.000,NULL
685852,Unknown User,,2016-08-01 03:49:20.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:49:22.000,10.0.170.250,2016-08-01 06:49:20.000,NULL
685869,Unknown User,,2016-08-01 03:51:41.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:51:43.000,10.0.170.250,2016-08-01 06:51:41.000,NULL
685870,Unknown User,,2016-08-01 03:51:42.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:51:44.000,10.0.170.250,2016-08-01 06:51:42.000,NULL
685919,Unknown User,,2016-08-01 03:56:43.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 06:56:47.000,10.0.170.250,2016-08-01 06:56:43.000,NULL
685971,Unknown User,,2016-08-01 03:56:46.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:13.000,10.0.170.250,2016-08-01 06:56:46.000,NULL
685972,Unknown User,,2016-08-01 04:04:10.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:13.000,10.0.170.250,2016-08-01 07:04:10.000,NULL
685974,Unknown User,,2016-08-01 04:04:14.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:15.000,10.0.170.250,2016-08-01 07:04:14.000,NULL
685975,Unknown User,,2016-08-01 04:04:19.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:20.000,10.0.170.250,2016-08-01 07:04:19.000,NULL
685977,Unknown User,,2016-08-01 04:04:20.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:24.000,10.0.170.250,2016-08-01 07:04:20.000,NULL
685979,Unknown User,,2016-08-01 04:04:23.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:27.000,10.0.170.250,2016-08-01 07:04:23.000,NULL
685980,Unknown User,,2016-08-01 04:04:24.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:27.000,10.0.170.250,2016-08-01 07:04:24.000,NULL
685981,Unknown User,,2016-08-01 04:04:25.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:30.000,10.0.170.250,2016-08-01 07:04:25.000,NULL
685982,Unknown User,,2016-08-01 04:04:26.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:34.000,10.0.170.250,2016-08-01 07:04:26.000,NULL
685983,Unknown User,,2016-08-01 04:04:31.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:36.000,10.0.170.250,2016-08-01 07:04:31.000,NULL
685984,Unknown User,,2016-08-01 04:04:34.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:38.000,10.0.170.250,2016-08-01 07:04:34.000,NULL
685986,Unknown User,,2016-08-01 04:04:36.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:39.000,10.0.170.250,2016-08-01 07:04:36.000,NULL
685987,Unknown User,,2016-08-01 04:04:39.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:43.000,10.0.170.250,2016-08-01 07:04:39.000,NULL
685988,Unknown User,,2016-08-01 04:04:41.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:44.000,10.0.170.250,2016-08-01 07:04:41.000,NULL
685990,Unknown User,,2016-08-01 04:04:42.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:46.000,10.0.170.250,2016-08-01 07:04:42.000,NULL
685991,Unknown User,,2016-08-01 04:04:44.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:46.000,10.0.170.250,2016-08-01 07:04:44.000,NULL
685992,Unknown User,,2016-08-01 04:04:45.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:47.000,10.0.170.250,2016-08-01 07:04:45.000,NULL
685993,Unknown User,,2016-08-01 04:04:48.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:49.000,10.0.170.250,2016-08-01 07:04:48.000,NULL
685995,Unknown User,,2016-08-01 04:04:49.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:51.000,10.0.170.250,2016-08-01 07:04:49.000,NULL
685996,Unknown User,,2016-08-01 04:04:51.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:52.000,10.0.170.250,2016-08-01 07:04:51.000,NULL
685997,Unknown User,,2016-08-01 04:04:52.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:58.000,10.0.170.250,2016-08-01 07:04:52.000,NULL
685998,Unknown User,,2016-08-01 04:04:57.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:04:59.000,10.0.170.250,2016-08-01 07:04:57.000,NULL
685999,Unknown User,,2016-08-01 04:04:59.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:05:00.000,10.0.170.250,2016-08-01 07:04:59.000,NULL
686002,Unknown User,,2016-08-01 04:05:01.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:05:02.000,10.0.170.250,2016-08-01 07:05:01.000,NULL
686003,Unknown User,,2016-08-01 04:05:05.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:05:07.000,10.0.170.250,2016-08-01 07:05:05.000,NULL
686006,Unknown User,,2016-08-01 04:05:09.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:05:11.000,10.0.170.250,2016-08-01 07:05:09.000,NULL
686007,Unknown User,,2016-08-01 04:05:11.000,CASE-IS-OPENED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:05:14.000,10.0.170.250,2016-08-01 07:05:11.000,NULL
686009,Unknown User,,2016-08-01 04:05:12.000,CASE-IS-CLOSED,00111DA0EDAD,RDOOR,"#RDOOR# ",00111DA0EDAD,NULL,0,2016-08-01 07:05:15.000,10.0.170.250,2016-08-01 07:05:12.000,NULL
